No,질문,답변
000271,"- 화면번호 : 3072,3065

- 문의내용 : 3065에 있는 발행 내역 중 발행 금리가 궁금한데 3072랑 연결해서 볼 수 있는 엑셀 파일을 만들어볼 수 있을까요? 3065에서 발행된 내역 금리가 궁금합니다 !","안녕하세요. CHECKExpert+ 입니다.

CP의 발행금리는 예탁원에서 제공하는 정보가 아니여서 알 수가 없고
3072화면의 거래내역을 통해서 추정만 할 수 있습니다.

각 화면에서 데이터가 있는 부분에서 마우스 우클릭 후
[엑셀 Premium으로 보내기]를 선택하시면
엑셀 파일에서 조회할 수 있는데
A1, A2 셀의 수식을 참고하셔서 가공하시면
엑셀로 조회할 수 있습니다.

만약 하시다가 어려운 부분이 있다면 저희가 엑셀파일을 만들어드릴 수도 있으니, 추가 문의부탁드립니다.

감사합니다."
000254,"- 화면번호 : 
- 전화번호 : 
- 문의내용 : 시가평가

잔존일, 발행액, 상장잔액, 이자유형등을 국고채 별로 보고싶은데요 시가평가 에서 볼수 있는 화면이 있을까요?","안녕하세요. CHECKExpert+ 입니다.

3022화면에서 조회가능합니다.

왼쪽 상단에서 돋보기버튼을 클릭하신뒤 나오는 종목검색창에서
왼쪽 중분류에서 [채권종류] > 우측 종류명에서 [국고채]를 선택하고
3022화면 우측 상단에서 [항목설정] 버튼을 클릭해서
종목명, 잔존일, 발행액, 상장잔액, 이자유형, 민평3사%, 민평4사% 등의
항목을 선택하시면 원하시는 데이터를 조회할 수 있을 것입니다.

감사합니다. "
000242,"- 화면번호 : 
- 전화번호 : 
- 문의내용 : 해외채권 정보를 확인하고 싶습니다. KP물 말고 외화채권 정보도 있나요?","안녕하세요. CHECKExpert+ 입니다.

CHECK에서는 해외채권 정보를 제공하고 있지 않습니다.

이용에 불편드려 죄송합니다.
감사합니다."
000241,"- 화면번호 : 
- 전화번호 : 
- 문의내용 : 안녕하세요! 최근 10년 한국은행 기준금리, 콜금리, RP금리(국채) 데이터를 볼수 있는 화면이 있을까요?","안녕하세요. CHECKExpert+ 입니다.

한국은행 기준금리 : 2712화면
콜금리, RP금리 : 3970화면

위 화면에서 조회가 가능합니다.
다만 콜금리와 RP금리는  2015/06/11부터 데이터가 존재하고
RP금리(국채)만 따로 집계한 데이터는 존재하지 않습니다.

감사합니다."
000236,"- 화면번호 : 3287

- 문의내용 : 3287화면에서 관심종목을 3954 최근검색종목 모두 넣고싶은데
             어떻게 하면될까요","안녕하세요. CHECKExpert+ 입니다.

3287화면에서 왼쪽 상단의 등록 버튼을 누르면 나오는 팝업창에서
화면 중간의 돋보기버튼을 누르면 종목검색창이 나오는데
중분류에서 [종목-직전]을 클릭하시면
3954에 나오는 채권 리스트가 조회될 것입니다.

리스트 중에서 추가를 원하는 채권들을 선택해서
(Ctrl이나 shift와 마우스클릭을 같이 하시면 중복선택 가능)
원하는 관심채권 포트폴리오에 추가하시면
3287화면에서 해당 채권들을 조회할 수 있습니다.

감사합니다."
000235,"- 화면번호 : 3954

- 문의내용 : 화면내 조회되는 컬럼추가가 가능할까요?
                         (""이자지급유형"", (민3)Mod. Dur) ","안녕하세요. CHECKExpert+ 입니다.

최근 검색종목이 조회되는 것은 아니지만
관심채권에 등록한 채권포트폴리오에 대해서 
3954화면의 항목뿐만 아니라
문의주신 항목들까지 3827화면에서 확인이 가능합니다.

관심채권이 아닌 최근 검색종목에 대해서
""이자지급유형, (민3)Mod. Dur"" 항목이 조회되길 원하실까요?

다시 글을 남겨주시면 확인하겠습니다.
감사합니다."
000229,"- 화면번호 : 3774

- 문의내용 : 3774 화면 왼쪽 하단에 금리 꺾은선 차트를 엑셀로 그대로 옮기고싶은데, 데이터를 엑셀로 보내기 누르면 엑셀에 데이터값만 쭉 떠서요, 혹시 꺾은선 그래프 보이는 그대로 엑셀로 열 방법 없나요??","안녕하세요. CHECKExpert+ 입니다.

왼쪽 하단의 차트에서 마우스 우클릭하고
데이터보내기 >  엑셀 바로보기를 선택하시면
차트의 데이터만 엑셀에서 확인할 수 있습니다.

감사합니다.
"
000219,"- 화면번호 : 3703

- 문의내용 : 어떤 거래건은 매수자와 매도자가 각각 거래내역 올려서 중복된게 보이는데 어떤 거래건은 중복되지 않고 한건만 올라오는 이유가 무엇인가요? 실질적으로 중복 제외하고 매수/매도 한방향으로만 거래량 파악할 방법 있나요? ","안녕하세요. CHECKExpert+ 입니다.

3703화면에서는 전체 시장을 통합해서 볼 수 있는 데이터이기 때문에
장외(15분)시장을 제외하고는 데이터에 매수/매도 구분이 
붙어있지 않은 상태로 입수가 됩니다.
또한 장외(15분)시장은 당일거래건에 대해서는 매수/매도 구분이 없고
전영업일 거래 건에 대해서 매수/매도 구분이 공개가 됩니다.
따라서 중복되지 않도록 조회하기에는 현실적으로 어려움이 있습니다.

중복되지 않고 한 건만 조회되는 이유는 아래와 같은데요,
증권사가 채권거래를 할 경우 금융투자협회에 
거래한 후 15분 이내에 거래내역을 보고하도록 되어 있습니다.
다만, 이는 의무규정이 아니다보니 거래하고 나서 한참 뒤에 보고를 하거나
보고를 안하는 경우도 있곤 합니다.
그러다 보니 매수/매도 어느 한 쪽만 보고를 해서 데이터가
한 건만 조회되는 경우가 발생합니다.

이러한 이유로 당일 거래에 대해서는
중복 제외하고 매수/매도 한방향으로 거래량을 파악하기에는 어려움이 있습니다.

참고로 3210화면에서 당일이 아닌 일자로 조회를 하시면
맨 우측의 [구분]항목에 매수/매도 구분이 붙어서 조회가 되니
당일 거래내역 조회가 아니라면 3210화면으로 보시면 될 것 같습니다.
다만, 3210화면은 장외(15분체결)시장에만 해당되므로
전체 시장 거래는 아닌 것은 참고부탁드립니다.

감사합니다."
000207,"- 화면번호 : 4151

- 문의내용 : 선물 일중 시간대별 체결가 정보를 기준으로 체결량을 확인하고 싶습니다. 해당 시간대 체결건 별 체결량이면 더욱 좋고, 체결 시간대별 체결량이어도 좋습니다. 어느 화면에서 확인 가능할까요? 
- 대상 : 165v3000 종가 체결량","안녕하세요. CHECKExpert+ 입니다.

조회를 원하시는 데이터와 일치하는 화면은 없지만
최대한 비슷한 화면으로 안내드리겠습니다.

4131화면에서는 체결가격에 따른 체결량을 조회할 수 있습니다만
Tick으로만 조회가 가능하고
1분, 10분 등으로 조회주기를 변경할 수는 없습니다.

4133화면에서는 조회주기를 변경할 수는 있지만
매수체결, 매도체결 수량이 따로 조회가 되고 있어서
두 데이터를 합쳐야 원하시는 체결량을 알 수 있습니다.

이용에 도움이 되셨길 바랍니다.
감사합니다."
000147,"- 화면번호 : 5720

- 문의내용 : 혹시 risk on이랑 risk off화면 차이가 뭔지 여쭤봐도 될까요??","안녕하세요. CHECKExpert+ 입니다.

답변이 늦어져서 죄송합니다.
5720화면 : Risk-On = 위험자산 선호
5721화면 : Risk-Off = 위험자산 회피(=안전자산 선호)

위와 같은 의미를 가지고 있습니다.
그래서 5720화면은 위험자산과 관련된 지표들(주식, 원자재 등)을 같이 보여주고
5721화면은 안전자산과 관련된 지표들(채권금리)를 같이 보여주고 있습니다.

감사합니다."
